gene,gains,losses,count,dist,loss_dist,gain_subsize,loss_subsize,gain_subsize_nofilter,loss_subsize_nofilter,gain_subsize_thresh,loss_subsize_thresh,root_state,gains_flow,losses_flow,gains_markov,losses_markov,gains_entropy,losses_entropy,gain_subsize_marginal,loss_subsize_marginal,gain_subsize_marginal_nofilter,loss_subsize_marginal_nofilter,gain_subsize_marginal_thresh,loss_subsize_marginal_thresh,gain_subsize_entropy,loss_subsize_entropy,gain_subsize_entropy_nofilter,loss_subsize_entropy_nofilter,gain_subsize_entropy_thresh,loss_subsize_entropy_thresh,dist_marginal,loss_dist_marginal,root_prob
rclB,0,20,469,0.03047,0.11102,0.21208999999999997,5.312909999999996,0.27635,5.743389999999997,0.21208999999999997,4.7347300000000025,1,18.318978074448598,21.538807448163794,0.3827699832839861,0.44054843353664075,11.46473228264333,11.963695499738199,0.4143325685325701,5.551624205234966,0.41813420864997436,5.601605791350024,0.3831637622220245,4.604524598358462,0.26113884844933655,3.5447444888652675,0.26353968731733113,3.57630921643632,0.24145490169257522,2.946625393452225,0.03047,0.11102,0.9293155062700612
uidB,1,4,469,0.03047,0.12944,0.16508000000000006,5.359919999999993,0.16508000000000006,5.854659999999997,0.16508000000000006,4.378330000000004,1,2.203655114075481,4.03675634887199,0.05385832403310669,0.08983845563442691,1.7928368181040837,2.651414262593594,0.15302884602062491,5.812927927746907,0.15528220246837776,5.864457797531616,0.13620052888402606,4.427093720547839,0.12581028194653623,5.4827260102615725,0.12738199876709416,5.522061938620311,0.11465239143773735,4.28679899742833,0.03047,0.12944,0.9683803137476242
yigE,0,9,469,0.03047,0.12071000000000001,0.31098000000000003,5.214019999999994,0.36869,5.6510500000000015,0.31098,4.484610000000004,1,1.0038773235367064,8.996323858056979,0.03612914826551152,0.26694014697020996,0.6432407266271564,5.783283174774333,0.15658438497065674,5.8093723887968824,0.1574540709278754,5.862285929072126,0.1480619703731741,4.652675436465947,0.13357200657290946,5.509099036610243,0.13427195395151528,5.5562359543182085,0.1274710507250311,4.440471502888185,0.03047,0.12071000000000001,0.9820097806269735
fliG,1,11,469,0.03047,0.12662,0.13526000000000002,5.389739999999996,0.19345,5.826289999999997,0.13526000000000005,4.496820000000002,1,10.070588564704712,10.939180947347063,0.2404302574100195,0.26951217273162265,6.210450366374054,6.279974907005987,0.26787096708219804,5.698085806685342,0.2703685729460259,5.749371427053976,0.24739368939846984,4.425822552319189,0.18852018813005192,4.326518362542945,0.19034076718299744,4.363901973598487,0.17359368443150072,3.397652433642197,0.03047,0.12662,0.9535616963424147
yahN,0,13,468,0.03047,0.14508000000000001,0.11884000000000002,5.4061599999999945,0.17702999999999997,5.842709999999998,0.11884000000000002,3.577560000000004,1,11.025823391833484,13.746037793046469,0.2925929411710439,0.2531533797061897,7.298908233916354,9.00365282943285,0.3375450110155387,5.628411762751991,0.3406592590795937,5.679080740920395,0.3120120182513645,3.4844857713278707,0.2347405446716681,4.027281037787001,0.23686114024725344,4.0617832382268615,0.21735426776968655,2.540128490757928,0.03047,0.14508000000000001,0.9420962665872219
ybbW,1,22,468,0.03047,0.11102,0.21888,5.306119999999995,0.34197999999999995,5.677759999999999,0.21887999999999996,4.727940000000004,1,18.76261952754251,21.794573347469235,0.36880335412653237,0.49993707694615175,12.661303981262966,13.19259020809123,0.4025269521996261,5.563429821567907,0.40621377645445883,5.613526223545537,0.37229949574633986,4.614154572289028,0.25775733558441943,3.5905381275923074,0.26011510402983345,3.6225753790714914,0.23842651369420678,2.9834651905439302,0.03047,0.11102,0.9314502956944676
yedK,1,13,468,0.03047,0.14016,0.27791000000000005,5.247089999999995,0.27791000000000005,5.74183,0.27791,3.646000000000004,1,10.094043487591998,12.493642520988486,0.27830198296565684,0.32905919708624576,5.644872343809133,6.359670514661931,0.31987509058502556,5.64608168318252,0.32308337969112066,5.6966566203088895,0.29359488543441403,3.7178614401512005,0.2073534263355214,4.134018081568346,0.2095156107395006,4.168102415812378,0.18963657622359276,2.7988348591233865,0.03047,0.14016,0.9403011577316979
fliK,1,12,468,0.03047,0.12662,0.14841000000000001,5.376589999999996,0.2066,5.813139999999996,0.14841000000000004,4.483670000000003,1,10.628488735363202,11.887713240415042,0.25898285044535513,0.2874454409831554,6.512513136418214,6.800014214590925,0.28846868416960064,5.677488089597935,0.2911849171459913,5.7285550828540055,0.26619894987206644,4.410596766612579,0.19915443806106523,4.226160819009241,0.20108695278765434,4.262493385992069,0.1833102066982665,3.3231538234542173,0.03047,0.12662,0.9494967604734432
fliF,1,12,468,0.03047,0.12662,0.13535000000000003,5.389649999999996,0.19354,5.8261999999999965,0.13535000000000005,4.496730000000002,1,11.637025986753091,11.956543285432502,0.25898850061227296,0.2878930346920694,6.8476815189383196,6.478787241643566,0.286148845340656,5.679807928426885,0.28876981293207127,5.730970187067931,0.26466011721740346,4.410741811654292,0.19870069358750642,4.2184696199735,0.20058520534505925,4.255255987827811,0.18325000130912497,3.305171740265512,0.03047,0.12662,0.9512679306701567
ybdJ,3,1,468,0.03047,0.15974000000000002,0.13182,5.3931799999999965,0.13182,5.887919999999999,0.13181999999999996,2.6517500000000007,1,3.130585377272654,1.193549878117609,0.02907222536032305,0.0045825455642397265,1.8843701722693587,0.6540944782021652,0.1579768395300915,5.807979934237449,0.15825967348821884,5.861480326511782,0.15615437635083534,2.6315946838750732,0.1450906449247732,5.7297106817174175,0.14535912219440386,5.780697664514479,0.14334553075210948,2.6115624635243253,0.03047,0.15974000000000002,0.9937314938946036
fliJ,1,12,468,0.03047,0.12662,0.13535000000000003,5.389649999999996,0.19354,5.8261999999999965,0.13535000000000005,4.496730000000002,1,11.19442545280114,11.965632763564415,0.2582333911220297,0.2789327807929839,6.8904822909767205,6.66650103986177,0.2849009975243573,5.681055776243178,0.2875204396004354,5.732219560399561,0.2634247782819684,4.411941699815912,0.19827940978064781,4.224557259048242,0.2001631432142437,4.261350945644665,0.18283509958396896,3.311025431527401,0.03047,0.12662,0.951296293447472
ycjW,2,4,468,0.03047,0.06541,0.32738,5.197619999999993,0.38477000000000006,5.634969999999997,0.32738000000000017,5.069690000000001,1,2.4711809463755747,4.059743601931242,0.11739174153050867,0.0577057193927006,1.6908265090205334,2.9179955619379463,0.4486811281134068,5.517275645654136,0.4520836481450646,5.567656351854939,0.39069575019707087,5.016205087231904,0.36398742965310876,5.374997939682301,0.3667132549273214,5.417962368614696,0.31710722459378843,4.942245694950235,0.03047,0.06541,0.9030326923412005
yahE,0,17,468,0.03047,0.11102,0.13821,5.386789999999996,0.26066,5.759079999999998,0.13820999999999997,4.8086100000000025,1,14.508304332034768,18.365406985226095,0.2935195907005408,0.39062029505811446,10.479235623869647,13.689930104105498,0.31255987760897047,5.653396896158572,0.315415400758137,5.704324599241868,0.2891480750177192,4.6883693466514345,0.21940958530288376,3.98092488952374,0.2214101817661789,4.016605140514501,0.20300713747923618,3.304820861759203,0.03047,0.11102,0.9469068081408055
